TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;14:44;ALECRIM;AV MANOEL MIRANDA -PROXIMO A FEIRA DO CARRASCO;MASCULINO;BRANCA;35;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;julho;31;domingo;ADULTO;15;VESPERTINO
HOMICIDIO;13:28;ALECRIM;AV OCIDENTAL DE BAIXO, PACO DA PATRIA;MASCULINO;PARDA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;janeiro;6;quarta-feira;ADOLESCENTE;13;VESPERTINO
HOMICIDIO;22:15;ALECRIM;AV PRES BANDEIRA, 100;MASCULINO;PARDA;57;AMBULANTE;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;abril;10;domingo;ADULTO;22;NOTURNO
HOMICIDIO;23:00;ALECRIM;RUA DOS CAICÓS, 1517;MASCULINO;PARDA;48;BORRACHEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;junho;23;quinta-feira;ADULTO;23;NOTURNO
HOMICIDIO;00:33;ALECRIM;RUA PROF SOARES, 525 (CORREDOR DO 1º ANDAR DO PREDIO CARANDIRU);MASCULINO;NEGRA;30;BISCATEIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;julho;3;domingo;ADULTO;1;NOTURNO
HOMICIDIO;16:09;ALECRIM;TV MIRABOL PEREIRA, POR TRAS DO MERCADO DA 4;MASCULINO;PARDA;31;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;junho;20;segunda-feira;ADULTO;16;VESPERTINO
HOMICIDIO;00:06;ALECRIM;R HUMAITA, PACO DA PATRIA, PROXIMO DA PEIXADA SAO JOSE;MASCULINO;NEGRA;18;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;março;16;quarta-feira;ADULTO;0;NOTURNO
HOMICIDIO;21:30;ALECRIM;TV DOS FERROVIARIOS COM SATIRO DIAS;MASCULINO;PARDA;20;TAXISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;outubro;8;sábado;ADULTO;22;NOTURNO
HOMICIDIO;19:04;ALECRIM;AV ALEXANDRINO DE ALENCAR;MASCULINO;NEGRA;31;MORADOR DE RUA;NI;ARMA BRANCA;janeiro;14;quinta-feira;ADULTO;19;NOTURNO
HOMICIDIO;01:25;ALECRIM;AV PTE BANDEIRA COM JAGUARARI;MASCULINO;PARDA;41;DESEMPREGADO;NI;ARMA DE FOGO;dezembro;25;domingo;ADULTO;1;NOTURNO
